,Name,Team,G,TRB,AST,PTS/G
0,Giannis Antetokounmpo,Bucks,72,12.5,5.9,27.7
1,LeBron James,Lakers,55,8.5,8.3,27.4
2,Luka Dončić,Mavs,72,7.8,6.0,21.2
3,Nikola Jokić,Nuggets,80,10.8,7.3,20.1
4,Blake Griffin,Pistons,75,7.5,5.4,24.5
5,Russell Westbrook,Thunder,73,11.1,10.7,22.9
