,Name,Team,G,TRB,AST,PTS/G
0,Giannis Antetokounmpo,Bucks,72,12.5,5.9,27.7
1,Marc Gasol,Grizzlies,53,8.6,4.7,15.7
2,LeBron James,Lakers,55,8.5,8.3,27.4
3,Luka Dončić,Mavs,72,7.8,6.0,21.2
4,Nikola Jokić,Nuggets,80,10.8,7.3,20.1
5,Blake Griffin,Pistons,75,7.5,5.4,24.5
6,Ben Simmons,Sixers,79,8.8,7.7,16.9
7,Russell Westbrook,Thunder,73,11.1,10.7,22.9
8,Draymond Green,Warriors,66,7.3,6.9,7.4
